,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6
Actual_0,0,1,2,2,1,0,0
Actual_1,0,4,23,15,1,0,0
Actual_2,0,14,260,141,11,2,0
Actual_3,0,8,141,352,60,6,0
Actual_4,0,0,19,91,105,1,0
Actual_5,0,0,2,11,22,4,0
Actual_6,0,0,0,0,1,0,0
