,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6
Actual_0,2,1,2,0,1,0,0
Actual_1,3,6,15,11,7,1,0
Actual_2,8,13,205,164,37,1,0
Actual_3,5,7,146,231,163,15,0
Actual_4,2,0,16,67,108,23,0
Actual_5,0,0,5,12,18,4,0
Actual_6,0,0,0,0,1,0,0
