,Predicted_0,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5,Predicted_6
Actual_0,0,1,4,0,1,0,0
Actual_1,0,5,20,16,3,0,0
Actual_2,2,5,235,156,30,0,0
Actual_3,1,15,151,237,156,4,4
Actual_4,1,4,15,74,114,6,2
Actual_5,0,0,4,8,26,0,1
Actual_6,0,0,0,1,0,0,0
