,Predicted_0,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5,Predicted_6
Actual_0,0,0,1,5,0,0,0
Actual_1,0,5,21,16,2,0,0
Actual_2,0,3,261,143,19,2,0
Actual_3,0,1,123,373,67,4,0
Actual_4,0,0,10,105,98,3,0
Actual_5,0,0,1,15,16,7,0
Actual_6,0,0,1,0,0,0,0
