,Predicted_0,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5,Predicted_6
Actual_0,0,0,4,1,1,0,0
Actual_1,0,2,29,10,2,0,0
Actual_2,0,5,235,172,13,3,0
Actual_3,0,7,162,346,47,5,0
Actual_4,0,2,41,102,69,2,0
Actual_5,0,0,10,16,8,5,0
Actual_6,0,0,0,1,0,0,0
