,Predicted_0,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5,Predicted_6
Actual_0,2,1,1,1,1,0,0
Actual_1,2,7,20,9,5,0,0
Actual_2,4,12,230,147,35,0,0
Actual_3,7,14,153,233,158,0,2
Actual_4,1,8,20,77,106,1,3
Actual_5,0,0,6,7,23,2,1
Actual_6,0,0,0,1,0,0,0
