,Predicted_0,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5,Predicted_6
Actual_0,0,0,4,1,1,0,0
Actual_1,0,2,25,13,2,1,0
Actual_2,0,3,219,182,21,3,0
Actual_3,0,1,137,352,70,7,0
Actual_4,0,0,29,89,95,3,0
Actual_5,0,0,7,17,7,8,0
Actual_6,0,0,0,1,0,0,0
